MOMO Title,Product Title,Similarity
【Singbee 欣美】雙層移動式置物推車(兒童書櫃 兒童收納櫃 移動書車 收納 推車 台灣製造),"CASAMARU 超薄收納推車, 灰色",0.41464486718177795
Mit 抽屜收納櫃(床邊櫃 床頭櫃 公文櫃 化妝車 化妝櫃 活動櫃 抽屜櫃 置物櫃 收納櫃 居家收納 Mit),"MARKET B MKB 邊桌抽屜櫃 1 隔間 425630, 紅色, 紅色, 1個",0.4097285270690918
【Singbee 欣美】三層移動式置物推車(兒童書櫃 兒童收納櫃 移動書車 收納 推車 台灣製造),"CASAMARU 超薄收納推車, 灰色",0.41716232895851135
熱賣 收納櫃 五鬥櫃 置物櫃 儲物櫃 床頭櫃 抽屜式櫃子 鬥櫃 邊櫃 床頭櫃 抽屜櫃 木櫃 玄關櫃 櫃子 活動櫃 書櫃,"comet 抽屜式儲物櫃, 1份",0.4014139473438263
【Tzumii】德爾活動收納櫃(沙發櫃 邊櫃),"comet 抽屜式儲物櫃, 1份",0.40975260734558105
【Richome】質感雙抽公文櫃/抽屜櫃/收納櫃/置物櫃/床頭櫃/活動櫃(居家 辦公 多用途),"comet 抽屜式儲物櫃, 1份",0.42830508947372437
【Motti】加寬版 活動邊櫃(原廠/附輪腳/收納櫃/辦公櫃/抽屜櫃),"comet 抽屜式儲物櫃, 1份",0.40053248405456543
Mit多功能抽屜櫃 床頭櫃 床邊櫃 沙發邊櫃 公文櫃 化妝櫃 化妝車 活動櫃 抽屜櫃 置物櫃 收納櫃,"MARKET B MKB 邊桌抽屜櫃 1 隔間 425630, 紅色, 紅色, 1個",0.4148484766483307
【Kf金柏莉家具】現代極簡風活動櫃_大_W39*D48*H59(辦公室收納櫃 / 三層抽屜櫃 / 活動邊櫃 / 桌下活動櫃),"MARKET B MKB 邊桌抽屜櫃 1 隔間 425630, 白色, 白色, 1個",0.42464181780815125
【Akira】Mit雙插座三抽活動床頭櫃(櫃子 收納櫃 置物櫃 床邊櫃 公文櫃 書櫃 邊櫃 ),"MARKET B MKB 邊桌抽屜櫃 1 隔間 425630, 白色, 白色, 1個",0.4141230583190918
【Xyg】辦公桌下櫃鋼制帶抽活動櫃收納櫃(收納櫃/抽屜櫃/斗櫃/儲物櫃),"comet 抽屜式儲物櫃, 1份",0.444185733795166
Nick 圓弧造型鋼製活動櫃_三抽(Nick/活動櫃/三層櫃/桌下櫃/抽屜櫃/鐵櫃),"comet 抽屜式儲物櫃, 1份",0.4167279601097107
新品-特惠  不銹鋼工具櫃活動矮櫃文件櫃醫療床頭抽屜櫃鐵皮收納陽臺儲物櫃子 文件櫃 儲物櫃 置物櫃 收納櫃,"comet 抽屜式儲物櫃, 1份",0.4036858081817627
三層下單區 置物櫃 滑輪收納櫃 文件櫃 活動櫃 抽屜收納櫃 桌下抽屜 可移動 需組裝(桌下抽屜  滑輪收納櫃),"comet 抽屜式儲物櫃, 1份",0.40684956312179565
Nick 經濟型三抽鋼製活動櫃（三層櫃/抽屜櫃/桌下櫃/鐵櫃）,"comet 抽屜式儲物櫃, 1份",0.4146864414215088
Mit 抽屜收納櫃(床邊櫃 收納櫃 化妝櫃 化妝車 活動櫃 抽屜櫃 置物櫃 Mit居家收納 床頭櫃 沙發邊櫃 公文櫃),"MARKET B MKB 邊桌抽屜櫃 1 隔間 425630, 紅色, 紅色, 1個",0.4147716462612152
【Nick】平面鋼製活動櫃_三抽(Nick/活動櫃/三層櫃/桌下櫃/抽屜櫃/鐵櫃),"comet 抽屜式儲物櫃, 1份",0.41306447982788086
【慢慢家居】 大款-免安裝活動抽屜櫃-三抽同時上鎖(文件櫃 公文櫃 活動櫃 邊櫃),"comet 抽屜式儲物櫃, 1份",0.40840864181518555
床頭櫃  儲物櫃  收納櫃  網紅床頭櫃  置物架 床邊櫃 置物櫃 抽屜櫃 活動櫃,"comet 抽屜式儲物櫃, 1份",0.4167454242706299
【喬艾森】附電線插座三層活動櫃(床頭櫃 多功能抽屜櫃 沙發邊櫃 公文櫃 化妝櫃),"MARKET B MKB 邊桌抽屜櫃 1 隔間 425630, 紅色, 紅色, 1個",0.41194844245910645
Bellaeven 三抽櫃 公文櫃 上抽帶鎖抽屜櫃 床頭櫃 沙發邊櫃 活動櫃 活動櫃 置物櫃 收納櫃(抽屜櫃),"comet 抽屜式儲物櫃, 1份",0.4184796214103699
Nick 圓弧造型三抽鋼製活動櫃（三層櫃/抽屜櫃/桌下櫃/鐵櫃）,"comet 抽屜式儲物櫃, 1份",0.4216189384460449
【唯熙傢俱】卡恩鋼刷白活動櫃(活動櫃 抽屜櫃 功能櫃 收納櫃 置物櫃 邊櫃),"comet 抽屜式儲物櫃, 1份",0.4338345527648926
【Funte】三層抽屜活動櫃(公文櫃 收納櫃 抽屜櫃 鐵櫃),"comet 抽屜式儲物櫃, 1份",0.4192917048931122
【Keyway 聯府】面寬32.5Cm愛迪生七層抽屜櫃附輪-1入A4資料櫃 文件櫃 活動櫃 抽屜櫃,"comet 抽屜式儲物櫃, 1份",0.4024396538734436
【唯熙傢俱】卡恩灰橡色活動櫃(活動櫃 抽屜櫃 功能櫃 收納櫃 置物櫃 邊櫃),"comet 抽屜式儲物櫃, 1份",0.4408670961856842
【文創集】凱特羅1.9尺拉盤單抽活動式電器櫃/收納櫃(底部滑輪設置),"comet 抽屜式儲物櫃, 1份",0.4071364104747772
【Logis】溫潤木質系活動櫃(抽屜櫃 收納櫃),"comet 抽屜式儲物櫃, 1份",0.42346441745758057
【艾蜜莉的家】2.7尺塑鋼活動置物櫃 收納櫃(可改固定腳粒-電聯時請先告知),,
【Motti】活動邊櫃(原廠/附輪腳/收納櫃/辦公櫃/抽屜櫃),,
【艾蜜莉的家】1.3尺塑鋼活動置物櫃 收納櫃(可改固定腳粒-電聯時請先告知),,
【One 生活】寬60Cm雙排活動書櫃(小尺寸多格書櫃 收納書櫃),,
【·Fly·飛迅家俱】2.7尺雙門下開放塑鋼鞋櫃木紋色系(活動式隔板),,
【Tzumii】雙排活動矮書櫃,,
【Desker】Bookcase 韓國設計監製 800型 五層書櫃 開放型 80*32*174Cm(書櫃/收納櫃/置物櫃/專人組裝),,
【美得像專櫃】可拆金屬拉鍊片(萬用配件⭐️  拉鍊環 箱包拉鏈配件 萬用拉鏈頭 修復萬能神器 連接扣 通用可拆卸 活動多功能拉片),,
【Desker】Bookcase 韓國設計監製 800型 三層書櫃 收納型 80*32*106Cm(書櫃/收納櫃/置物櫃/專人組裝),,
【Wakuhome 瓦酷家具】傑恩斯灰橡木簡約岩板活動沙發邊櫃A005-593,,
【Assari】迪奧二抽活動櫃(寬40X深56X高59Cm),,
【Iris】四層活動書櫃 Sbo-8590(可活動/滑軌設計/漫畫櫃/自行組裝),,
【Desker】Bookcase 韓國設計監製 800型 五層書櫃 收納型 80*32*174Cm(書櫃/收納櫃/置物櫃/專人組裝),,
文件櫃帶輪活動櫃辦公儲物移動桌下櫃(文件櫃/桌下櫃/活動櫃),,
【Desker】Bookcase 韓國設計監製 800型 三層書櫃 開放型 80*32*106Cm(書櫃/收納櫃/置物櫃/專人組裝),,
【Tzumii】雙色五層三門鞋櫃(活動隔板),,
【艾蜜莉的家】2.1尺塑鋼活動置物櫃 收納櫃(可改固定腳粒-電聯時請先告知),,
【Mr.Box】50面寬上掀開蓋式活動輪五層收納櫃(兩色可選),,
【Desker】Bookcase 韓國設計監製 1200型 五層書櫃 收納型 120*32*174Cm(書櫃/收納櫃/置物櫃/專人組裝),,
