product_name,product_price,product_url
mnx15 男士跑步鞋男士Boa Dial Air Max針織跑步鞋慢跑鞋運動鞋超輕輕便鞋,$847,https://www.tw.coupang.com/products/mnx15-%E7%94%B7%E5%A3%AB%E8%B7%91%E6%AD%A5%E9%9E%8B%E7%94%B7%E5%A3%ABBoa-Dial-Air-Max%E9%87%9D%E7%B9%94%E8%B7%91%E6%AD%A5%E9%9E%8B%E6%85%A2%E8%B7%91%E9%9E%8B%E9%81%8B%E5%8B%95%E9%9E%8B%E8%B6%85%E8%BC%95%E8%BC%95%E4%BE%BF%E9%9E%8B-21006653407903?itemId=21015253374010&vendorItemId=21086419849511&sourceType=search&rank=&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
GOODYEAR 固特異 男款 寬楦緩震慢跑鞋 GAMR33858,$930,https://www.tw.coupang.com/products/GOODYEAR-%E5%9B%BA%E7%89%B9%E7%95%B0-%E7%94%B7%E6%AC%BE-%E5%AF%AC%E6%A5%A6%E7%B7%A9%E9%9C%87%E6%85%A2%E8%B7%91%E9%9E%8B-GAMR33858-468931693232137?itemId=468931693215755&vendorItemId=468931693232134&sourceType=search&rank=1&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
GOODYEAR 固特異 男款 寬楦緩震慢跑鞋 GAMR33858,$930,https://www.tw.coupang.com/products/GOODYEAR-%E5%9B%BA%E7%89%B9%E7%95%B0-%E7%94%B7%E6%AC%BE-%E5%AF%AC%E6%A5%A6%E7%B7%A9%E9%9C%87%E6%85%A2%E8%B7%91%E9%9E%8B-GAMR33858-468931697426436?itemId=468931697410052&vendorItemId=468931697393665&sourceType=search&rank=2&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
Slazenger 男款慢跑鞋,$583,https://www.tw.coupang.com/products/Slazenger-%E7%94%B7%E6%AC%BE%E6%85%A2%E8%B7%91%E9%9E%8B-21005636639088?itemId=21009183790260&vendorItemId=21090874589684&sourceType=search&rank=3&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
GOODYEAR 固特異 男款 寬楦緩震慢跑鞋 GAMR33855,$930,https://www.tw.coupang.com/products/GOODYEAR-%E5%9B%BA%E7%89%B9%E7%95%B0-%E7%94%B7%E6%AC%BE-%E5%AF%AC%E6%A5%A6%E7%B7%A9%E9%9C%87%E6%85%A2%E8%B7%91%E9%9E%8B-GAMR33855-468931697377286?itemId=468931697393671&vendorItemId=468931697377285&sourceType=search&rank=4&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
男寬楦緩震慢跑鞋 GAMR33855 280,$930,https://www.tw.coupang.com/products/%E7%94%B7%E5%AF%AC%E6%A5%A6%E7%B7%A9%E9%9C%87%E6%85%A2%E8%B7%91%E9%9E%8B-GAMR33855-280-468931701620739?itemId=468931701620740&vendorItemId=468931701571584&sourceType=search&rank=5&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
男款Headline The U In跑步鞋 GH74_RD_1098,$376,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BEHeadline-The-U-In%E8%B7%91%E6%AD%A5%E9%9E%8B-GH74_RD_1098-21006122640724?itemId=21011616223784&vendorItemId=21078890890526&sourceType=search&rank=6&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
GOODYEAR 固特異 男款 寬楦緩震慢跑鞋 GAMR33855,$930,https://www.tw.coupang.com/products/GOODYEAR-%E5%9B%BA%E7%89%B9%E7%95%B0-%E7%94%B7%E6%AC%BE-%E5%AF%AC%E6%A5%A6%E7%B7%A9%E9%9C%87%E6%85%A2%E8%B7%91%E9%9E%8B-GAMR33855-468931701604364?itemId=468931701571590&vendorItemId=468931701604361&sourceType=search&rank=7&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
GOODYEAR 固特異 男款 寬楦緩震慢跑鞋 GAMR33858,$930,https://www.tw.coupang.com/products/GOODYEAR-%E5%9B%BA%E7%89%B9%E7%95%B0-%E7%94%B7%E6%AC%BE-%E5%AF%AC%E6%A5%A6%E7%B7%A9%E9%9C%87%E6%85%A2%E8%B7%91%E9%9E%8B-GAMR33858-468931701571586?itemId=468931701587973&vendorItemId=468931701604355&sourceType=search&rank=8&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
男士休閒針織跑鞋運動鞋 BRS106,$420,https://www.tw.coupang.com/products/%E7%94%B7%E5%A3%AB%E4%BC%91%E9%96%92%E9%87%9D%E7%B9%94%E8%B7%91%E9%9E%8B%E9%81%8B%E5%8B%95%E9%9E%8B-BRS106-21008312050263?itemId=21023985541330&vendorItemId=21091006610375&sourceType=search&rank=9&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
GOODYEAR 固特異 男款 寬楦緩震慢跑鞋 GAMR33858,$930,https://www.tw.coupang.com/products/GOODYEAR-%E5%9B%BA%E7%89%B9%E7%95%B0-%E7%94%B7%E6%AC%BE-%E5%AF%AC%E6%A5%A6%E7%B7%A9%E9%9C%87%E6%85%A2%E8%B7%91%E9%9E%8B-GAMR33858-468931693199361?itemId=468931693182977&vendorItemId=468931688988676&sourceType=search&rank=10&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
mnx15 男女通用跑步鞋男士女士 Boa Dial Air Max 針織運動鞋慢跑鞋運動鞋超輕輕便鞋,$861,https://www.tw.coupang.com/products/mnx15-%E7%94%B7%E5%A5%B3%E9%80%9A%E7%94%A8%E8%B7%91%E6%AD%A5%E9%9E%8B%E7%94%B7%E5%A3%AB%E5%A5%B3%E5%A3%AB-Boa-Dial-Air-Max-%E9%87%9D%E7%B9%94%E9%81%8B%E5%8B%95%E9%9E%8B%E6%85%A2%E8%B7%91%E9%9E%8B%E9%81%8B%E5%8B%95%E9%9E%8B%E8%B6%85%E8%BC%95%E8%BC%95%E4%BE%BF%E9%9E%8B-21006653428458?itemId=21015253454606&vendorItemId=21085927290560&sourceType=search&rank=11&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
GOODYEAR 固特異 男款 寬楦緩震慢跑鞋 GAMR33855,$930,https://www.tw.coupang.com/products/GOODYEAR-%E5%9B%BA%E7%89%B9%E7%95%B0-%E7%94%B7%E6%AC%BE-%E5%AF%AC%E6%A5%A6%E7%B7%A9%E9%9C%87%E6%85%A2%E8%B7%91%E9%9E%8B-GAMR33855-468931705798663?itemId=468931705798664&vendorItemId=468931705782280&sourceType=search&rank=12&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
Elsso 男款輕量編織步行運動鞋,$287,https://www.tw.coupang.com/products/Elsso-%E7%94%B7%E6%AC%BE%E8%BC%95%E9%87%8F%E7%B7%A8%E7%B9%94%E6%AD%A5%E8%A1%8C%E9%81%8B%E5%8B%95%E9%9E%8B-21007200828497?itemId=21018201451306&vendorItemId=21085349903597&sourceType=search&rank=13&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
GOODYEAR 固特異 慢跑鞋 GAWR32813,$722,https://www.tw.coupang.com/products/GOODYEAR-%E5%9B%BA%E7%89%B9%E7%95%B0-%E6%85%A2%E8%B7%91%E9%9E%8B-GAWR32813-267904838778889?itemId=267905765703691&vendorItemId=267904838778881&sourceType=search&rank=14&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
男款針織拼接造型運動慢跑鞋 JNH229,$604,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BE%E9%87%9D%E7%B9%94%E6%8B%BC%E6%8E%A5%E9%80%A0%E5%9E%8B%E9%81%8B%E5%8B%95%E6%85%A2%E8%B7%91%E9%9E%8B-JNH229-21006071238473?itemId=21011210067705&vendorItemId=21078487612210&sourceType=search&rank=15&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
冰雪奇緣 慢跑鞋 FOKR41717,$670,https://www.tw.coupang.com/products/%E5%86%B0%E9%9B%AA%E5%A5%87%E7%B7%A3-%E6%85%A2%E8%B7%91%E9%9E%8B-FOKR41717-473252627415040?itemId=473252627447808&vendorItemId=473252623220747&sourceType=search&rank=16&searchId=00d958e200fa44259ef9bef4a5290e9c&q=%E7%BE%8E%E6%B4%A5%E6%BF%83%E7%94%B7%E6%85%A2%E8%B7%91%E9%9E%8B
